model,weighting,n_tasks,n_variants,psr_a,psr_b,delta,ci_low,ci_high,p_perm
deepseek-prover-v2-7b,headline,25,79,0.5919047619047618,0.4357142857142857,0.15619047619047616,0.08,0.24285714285714285,0.0021
deepseek-prover-v2-7b,excluding_T1,25,54,0.344,0.10133333333333333,0.2426666666666667,0.11466666666666667,0.38933333333333336,0.0021
deepseek-prover-v2-7b,excluding_T1_T2,15,29,0.5700000000000001,0.2833333333333333,0.2866666666666667,0.13333333333333333,0.45999999999999996,0.017
deepseek-prover-v2-7b,family_balanced,25,79,0.5813333333333334,0.444,0.13733333333333334,0.068,0.21468333333333306,0.0021
goedel-prover-v2-8b,headline,23,75,0.6335403726708073,0.43012422360248437,0.203416149068323,0.11956521739130435,0.29037267080745344,0.0006
goedel-prover-v2-8b,excluding_T1,23,52,0.4391304347826086,0.11014492753623188,0.3289855072463768,0.18405797101449275,0.4855072463768116,0.0006
goedel-prover-v2-8b,excluding_T1_T2,15,29,0.59,0.2833333333333333,0.30666666666666664,0.04,0.5466666666666666,0.0656
goedel-prover-v2-8b,family_balanced,23,75,0.6253623188405796,0.4391304347826086,0.186231884057971,0.10869565217391304,0.26594202898550723,0.0006
goedel-prover-v2-32b,headline,21,69,0.6235827664399092,0.4353741496598638,0.18820861678004533,0.10090702947845805,0.2811791383219954,0.0017
goedel-prover-v2-32b,excluding_T1,21,48,0.4333333333333333,0.12063492063492062,0.3126984126984127,0.15714285714285714,0.48730158730158724,0.0017
goedel-prover-v2-32b,excluding_T1_T2,14,27,0.5107142857142858,0.30357142857142855,0.20714285714285713,-0.042857142857142864,0.4571428571428572,0.2161
goedel-prover-v2-32b,family_balanced,21,69,0.6182539682539682,0.4452380952380952,0.17301587301587298,0.09206349206349206,0.2619047619047619,0.0017
