contrast,proof_source,n_a,n_b,rate_a,rate_b,delta,ci_low,ci_high,tasks_a,tasks_b
structural_rfl_vs_all_other,all_provers,12,98,1.0,0.10204081632653061,0.8979591836734694,0.8041237113402062,0.9722222222222222,6,31
structural_rfl_vs_all_other,deepseek-prover-v2-7b,2,37,1.0,0.08108108108108109,0.9189189189189189,0.8285714285714285,1.0,2,28
structural_rfl_vs_all_other,goedel-prover-v2-8b,5,33,1.0,0.12121212121212122,0.8787878787878788,0.75,0.9722222222222222,4,24
structural_rfl_vs_all_other,goedel-prover-v2-32b,5,28,1.0,0.10714285714285714,0.8928571428571429,0.7666666666666666,1.0,4,21
structural_rfl_vs_all_other__one_record_per_task_and_source,all_provers,10,73,1.0,0.1095890410958904,0.8904109589041096,0.7866666666666666,0.971830985915493,6,31
semantic_rfl_vs_simp,all_provers,4,67,0.0,0.835820895522388,-0.835820895522388,-0.9418604651162791,-0.7,3,19
semantic_rfl_vs_simp,deepseek-prover-v2-7b,0,22,,,,,,0,0
semantic_rfl_vs_simp,goedel-prover-v2-8b,3,22,0.0,0.9090909090909091,-0.9090909090909091,-1.0,-0.7894736842105263,3,15
semantic_rfl_vs_simp,goedel-prover-v2-32b,1,23,0.0,0.7391304347826086,-0.7391304347826086,-0.92,-0.5333333333333333,1,16
semantic_rfl_vs_simp__one_record_per_task_and_source,all_provers,4,46,0.0,0.8097826086956522,-0.8097826086956522,-0.9361702127659575,-0.65,3,19
