analysis,source,scope,psr_all_variants,psr_excluding_noncomputable,delta_pp,n_variants_all,n_variants_excluded,ci_all,ci_excluded,n_tasks
psr,reference,overall,0.4791925465838509,0.47738095238095246,-0.18115942028984477,130,1,,,
psr,reference,D,1.0,1.0,0.0,46,1,,,
psr,reference,S,0.043478260869565216,0.043478260869565216,0.0,57,0,,,
psr,reference,E,0.4416666666666666,0.4416666666666666,0.0,27,0,,,
psr,deepseek-prover-v2-7b,overall,0.5929339477726575,0.5929339477726575,0.0,95,0,,,
psr,deepseek-prover-v2-7b,D,1.0,1.0,0.0,31,0,,,
psr,deepseek-prover-v2-7b,S,0.13333333333333333,0.13333333333333333,0.0,39,0,,,
psr,deepseek-prover-v2-7b,E,0.7222222222222222,0.7222222222222222,0.0,25,0,,,
psr,goedel-prover-v2-8b,overall,0.6461412151067324,0.6461412151067324,0.0,93,0,,,
psr,goedel-prover-v2-8b,D,1.0,1.0,0.0,29,0,,,
psr,goedel-prover-v2-8b,S,0.26785714285714285,0.26785714285714285,0.0,38,0,,,
psr,goedel-prover-v2-8b,E,0.7236842105263158,0.7236842105263158,0.0,26,0,,,
psr,goedel-prover-v2-32b,overall,0.6446886446886446,0.6446886446886446,0.0,83,0,,,
psr,goedel-prover-v2-32b,D,1.0,1.0,0.0,26,0,,,
psr,goedel-prover-v2-32b,S,0.26,0.26,0.0,33,0,,,
psr,goedel-prover-v2-32b,E,0.6764705882352942,0.6764705882352942,0.0,24,0,,,
matched_diff,deepseek-prover-v2-7b,all,0.15619047619047616,0.15619047619047616,0.0,79,0,"[8.0, 24.0]","[8.0, 24.0]",25.0
matched_diff,deepseek-prover-v2-7b,S,0.14,0.14,0.0,33,0,"[0.0, 28.0]","[0.0, 28.0]",25.0
matched_diff,deepseek-prover-v2-7b,E,0.3777777777777778,0.3777777777777778,0.0,21,0,"[15.6, 62.2]","[15.6, 62.2]",15.0
matched_diff,goedel-prover-v2-8b,all,0.203416149068323,0.203416149068323,0.0,75,0,"[12.0, 28.7]","[12.0, 28.7]",23.0
matched_diff,goedel-prover-v2-8b,S,0.21739130434782608,0.21739130434782608,0.0,31,0,"[4.3, 41.3]","[4.3, 41.3]",23.0
matched_diff,goedel-prover-v2-8b,E,0.4277777777777778,0.4277777777777778,0.0,21,0,"[13.3, 71.7]","[13.3, 71.7]",15.0
matched_diff,goedel-prover-v2-32b,all,0.18820861678004533,0.18820861678004533,0.0,69,0,"[9.9, 27.8]","[9.9, 27.8]",21.0
matched_diff,goedel-prover-v2-32b,S,0.23809523809523808,0.23809523809523808,0.0,28,0,"[4.8, 42.9]","[4.8, 42.9]",21.0
matched_diff,goedel-prover-v2-32b,E,0.2976190476190476,0.2976190476190476,0.0,20,0,"[0.0, 59.5]","[0.0, 59.5]",14.0
