model_id,rule,scope,psr,ci_low,ci_high,draw_p2_5,draw_p97_5,n_tasks,n_draws,seed
qwen3-14b,first_valid,overall,0.3833333333333333,0.29999999999999993,0.4666666666666666,,,5,,20260909
qwen3-14b,shortest_valid,overall,0.3833333333333333,0.29999999999999993,0.4666666666666666,,,5,,20260909
qwen3-14b,random_valid,overall,0.3833333333333332,0.29999999999999993,0.4666666666666666,0.3833333333333333,0.3833333333333333,5,1000.0,20260909
qwen3-14b,all_valid_mean,overall,0.3833333333333333,0.29999999999999993,0.4666666666666666,,,5,,20260909
qwen3-14b,best_valid_oracle,overall,0.3833333333333333,0.29999999999999993,0.4666666666666666,,,5,,20260909
qwen3-14b,worst_valid_oracle,overall,0.3833333333333333,0.29999999999999993,0.4666666666666666,,,5,,20260909
qwen3-14b,first_valid,S,0.0,0.0,0.0,,,5,,20260909
qwen3-14b,shortest_valid,S,0.0,0.0,0.0,,,5,,20260909
qwen3-14b,random_valid,S,0.0,0.0,0.0,0.0,0.0,5,1000.0,20260909
qwen3-14b,all_valid_mean,S,0.0,0.0,0.0,,,5,,20260909
qwen3-14b,best_valid_oracle,S,0.0,0.0,0.0,,,5,,20260909
qwen3-14b,worst_valid_oracle,S,0.0,0.0,0.0,,,5,,20260909
qwen3-14b,first_valid,E,0.25,0.0,0.75,,,4,,20260909
qwen3-14b,shortest_valid,E,0.25,0.0,0.75,,,4,,20260909
qwen3-14b,random_valid,E,0.25,0.0,0.75,0.25,0.25,4,1000.0,20260909
qwen3-14b,all_valid_mean,E,0.25,0.0,0.75,,,4,,20260909
qwen3-14b,best_valid_oracle,E,0.25,0.0,0.75,,,4,,20260909
qwen3-14b,worst_valid_oracle,E,0.25,0.0,0.75,,,4,,20260909
qwen3-32b,first_valid,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,,,5,,20260909
qwen3-32b,shortest_valid,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,,,5,,20260909
qwen3-32b,random_valid,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,0.5833333333333333,0.5833333333333333,5,1000.0,20260909
qwen3-32b,all_valid_mean,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,,,5,,20260909
qwen3-32b,best_valid_oracle,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,,,5,,20260909
qwen3-32b,worst_valid_oracle,overall,0.5833333333333333,0.36666666666666664,0.8166666666666668,,,5,,20260909
qwen3-32b,first_valid,S,0.3,0.0,0.7,,,5,,20260909
qwen3-32b,shortest_valid,S,0.3,0.0,0.7,,,5,,20260909
qwen3-32b,random_valid,S,0.2999999999999999,0.0,0.7,0.3,0.3,5,1000.0,20260909
qwen3-32b,all_valid_mean,S,0.3,0.0,0.7,,,5,,20260909
qwen3-32b,best_valid_oracle,S,0.3,0.0,0.7,,,5,,20260909
qwen3-32b,worst_valid_oracle,S,0.3,0.0,0.7,,,5,,20260909
qwen3-32b,first_valid,E,0.3333333333333333,0.0,1.0,,,3,,20260909
qwen3-32b,shortest_valid,E,0.3333333333333333,0.0,1.0,,,3,,20260909
qwen3-32b,random_valid,E,0.33333333333333326,0.0,1.0,0.3333333333333333,0.3333333333333333,3,1000.0,20260909
qwen3-32b,all_valid_mean,E,0.3333333333333333,0.0,1.0,,,3,,20260909
qwen3-32b,best_valid_oracle,E,0.3333333333333333,0.0,1.0,,,3,,20260909
qwen3-32b,worst_valid_oracle,E,0.3333333333333333,0.0,1.0,,,3,,20260909
goedel-prover-v2-8b,first_valid,overall,0.6461412151067324,0.5767651888341543,0.7183908045977011,,,29,,20260909
goedel-prover-v2-8b,shortest_valid,overall,0.6539408866995075,0.5862068965517241,0.7229064039408868,,,29,,20260909
goedel-prover-v2-8b,random_valid,overall,0.6443296387520526,0.585591133004926,0.706569170771757,0.6067323481116584,0.676929392446634,29,1000.0,20260909
goedel-prover-v2-8b,all_valid_mean,overall,0.6446428571428571,0.585591133004926,0.706569170771757,,,29,,20260909
goedel-prover-v2-8b,best_valid_oracle,overall,0.6970443349753694,0.6293103448275861,0.7660098522167487,,,29,,20260909
goedel-prover-v2-8b,worst_valid_oracle,overall,0.566502463054187,0.5028735632183907,0.6379310344827587,,,29,,20260909
goedel-prover-v2-8b,first_valid,S,0.26785714285714285,0.10714285714285714,0.42857142857142855,,,28,,20260909
goedel-prover-v2-8b,shortest_valid,S,0.23214285714285715,0.08928571428571429,0.39285714285714285,,,28,,20260909
