variant_id,task_id,category,certified,certificate_level,failure_category,operator,lhs,rhs,n_eligible_occurrences,code_loc,code_tokens,recursive,self_recursive,has_let_rec,has_where,def_level_termination,n_nested_helpers,code_aux_nonempty,has_reference_proof,reference_proof_loc
verina_advanced_10__T3_comm_swap__0,verina_advanced_10,advanced,False,,tactic_failed,+,count,1,1,23,153,True,False,True,True,True,1,False,False,
verina_advanced_2__T3_comm_swap__0,verina_advanced_2,advanced,True,simp_only,,+,m,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_2__T3_comm_swap__1,verina_advanced_2,advanced,True,simp_only,,+,n,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_2__T3_comm_swap__2,verina_advanced_2,advanced,True,simp_only,,+,m,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_21__T3_comm_swap__0,verina_advanced_21,advanced,False,,tactic_failed,+,left,1,2,24,170,True,False,True,False,False,1,False,False,
verina_advanced_21__T3_comm_swap__1,verina_advanced_21,advanced,True,simp_only,,&&,approach1,approach2,2,24,170,True,False,True,False,False,1,False,False,
verina_advanced_22__T3_comm_swap__0,verina_advanced_22,advanced,False,,tactic_failed,&&,increasing,startedDecreasing,1,12,89,True,False,True,False,False,1,False,False,
verina_advanced_25__T3_comm_swap__0,verina_advanced_25,advanced,True,simp_only,,+,dp[j]!,1,1,10,80,False,False,False,False,False,1,True,False,
verina_advanced_29__T3_comm_swap__0,verina_advanced_29,advanced,True,simp_only,,+,count,1,2,22,136,False,False,False,False,False,0,False,False,
verina_advanced_29__T3_comm_swap__1,verina_advanced_29,advanced,True,simp_only,,+,left,1,2,22,136,False,False,False,False,False,0,False,False,
verina_advanced_3__T3_comm_swap__0,verina_advanced_3,advanced,True,simp_only,,+,n,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_3__T3_comm_swap__1,verina_advanced_3,advanced,True,simp_only,,+,m,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_3__T3_comm_swap__2,verina_advanced_3,advanced,True,simp_only,,+,n,1,4,16,179,False,False,False,False,False,1,True,False,
verina_advanced_30__T3_comm_swap__0,verina_advanced_30,advanced,False,,tactic_failed,+,currLen,1,2,10,107,True,False,True,False,False,1,False,False,
verina_advanced_30__T3_comm_swap__1,verina_advanced_30,advanced,False,,tactic_failed,+,currLen,1,2,10,107,True,False,True,False,False,1,False,False,
verina_advanced_32__T3_comm_swap__0,verina_advanced_32,advanced,False,,tactic_failed,+,bestPrevLen,1,2,24,203,True,False,True,False,False,1,False,False,
verina_advanced_32__T3_comm_swap__1,verina_advanced_32,advanced,False,,tactic_failed,+,idx,1,2,24,203,True,False,True,False,False,1,False,False,
verina_advanced_35__T3_comm_swap__0,verina_advanced_35,advanced,True,simp_only,,+,count,1,1,9,70,False,False,False,False,False,0,False,False,
verina_advanced_36__T3_comm_swap__0,verina_advanced_36,advanced,False,,tactic_failed,+,count,1,1,25,170,True,False,True,False,False,1,False,False,
verina_advanced_38__T3_comm_swap__0,verina_advanced_38,advanced,True,simp_only,,+,acc,(e - s),1,14,134,False,False,False,False,False,0,False,False,
verina_advanced_4__T3_comm_swap__0,verina_advanced_4,advanced,False,,tactic_failed,+,dp[j]!,1,1,12,91,False,False,False,False,False,1,True,False,
verina_advanced_43__T3_comm_swap__0,verina_advanced_43,advanced,True,simp_only,,*,acc,x,1,14,122,False,False,False,False,False,0,False,False,
verina_advanced_44__T3_comm_swap__0,verina_advanced_44,advanced,True,simp_only,,+,n,1,3,22,177,False,False,False,False,False,0,False,False,
verina_advanced_44__T3_comm_swap__1,verina_advanced_44,advanced,True,simp_only,,+,prefixSums[i]!,arr[i]!,3,22,177,False,False,False,False,False,0,False,False,
verina_advanced_44__T3_comm_swap__2,verina_advanced_44,advanced,True,simp_only,,+,start,len,3,22,177,False,False,False,False,False,0,False,False,
verina_advanced_45__T3_comm_swap__0,verina_advanced_45,advanced,False,,tactic_failed,+,curMax,x,1,10,80,True,False,True,False,False,1,False,False,
verina_advanced_46__T3_comm_swap__0,verina_advanced_46,advanced,False,,tactic_failed,+,currSum,y,1,24,170,True,False,True,False,False,1,False,False,
verina_advanced_5__T3_comm_swap__0,verina_advanced_5,advanced,False,,tactic_failed,+,h1,carry,3,14,142,True,False,True,False,False,1,False,False,
verina_advanced_5__T3_comm_swap__1,verina_advanced_5,advanced,False,,tactic_failed,+,h2,carry,3,14,142,True,False,True,False,False,1,False,False,
verina_advanced_5__T3_comm_swap__2,verina_advanced_5,advanced,False,,tactic_failed,+,h1,h2,3,14,142,True,False,True,False,False,1,False,False,
verina_advanced_52__T3_comm_swap__0,verina_advanced_52,advanced,False,,tactic_failed,+,ops,1,2,16,237,True,False,True,False,False,1,False,False,
verina_advanced_52__T3_comm_swap__1,verina_advanced_52,advanced,False,,tactic_failed,+,collected_count,1,2,16,237,True,False,True,False,False,1,False,False,
verina_advanced_53__T3_comm_swap__0,verina_advanced_53,advanced,False,,tactic_failed,+,shifts_count,1,1,21,411,True,False,True,False,True,1,False,False,
verina_advanced_54__T3_comm_swap__0,verina_advanced_54,advanced,True,simp_only,,*,n,(n + 1),1,4,31,False,False,False,False,False,0,False,False,
verina_advanced_57__T3_comm_swap__0,verina_advanced_57,advanced,False,,tactic_failed,+,index,1,2,38,322,True,False,True,False,False,1,False,False,
verina_advanced_57__T3_comm_swap__1,verina_advanced_57,advanced,False,,tactic_failed,+,i,1,2,38,322,True,False,True,False,False,1,False,False,
verina_advanced_59__T3_comm_swap__0,verina_advanced_59,advanced,True,simp_only,,||,c.isAlpha,c.isDigit,2,14,91,True,False,True,False,False,1,False,False,
verina_advanced_59__T3_comm_swap__1,verina_advanced_59,advanced,False,,tactic_failed,+,l,1,2,14,91,True,False,True,False,False,1,False,False,
verina_advanced_61__T3_comm_swap__0,verina_advanced_61,advanced,True,simp_only,,*,pref[i]!,suffix[i+1]!,1,6,135,False,False,False,False,False,1,True,False,
verina_advanced_63__T3_comm_swap__0,verina_advanced_63,advanced,False,,tactic_failed,+,k,1,1,18,92,True,False,True,False,False,1,False,False,
verina_advanced_67__T3_comm_swap__0,verina_advanced_67,advanced,False,,tactic_failed,+,count,1,1,15,124,True,False,True,False,False,1,False,False,
verina_advanced_68__T3_comm_swap__0,verina_advanced_68,advanced,False,,tactic_failed,+,n,48,2,30,263,True,False,True,False,False,1,False,False,
verina_advanced_68__T3_comm_swap__1,verina_advanced_68,advanced,False,,tactic_failed,+,count,1,2,30,263,True,False,True,False,False,1,False,False,
verina_advanced_69__T3_comm_swap__0,verina_advanced_69,advanced,False,,tactic_failed,+,currentIndex,1,1,23,101,True,False,True,False,False,1,False,False,
