task_id,tier,function_name,n_parameters,parameters,return_type,proof_block_nonempty,contains_sorry_in_proof,has_reference_proof_text,original_compiles,original_compile_seconds,original_error_category,has_reference_proof,code_loc,code_aux_loc,proof_loc,proof_aux_loc,precond_is_true,spec_hash,proof_hash,code_has_termination_by,code_has_where,code_has_do,code_has_let_rec,code_first_token,task_has_upstream_axioms
verina_advanced_1,advanced,FindSingleNumber,1,"[{""param_name"": ""nums"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.584,,False,14,0,1,0,False,2d578cc1a2597ff416983309b7410b9d51faaf4e2a2f0a13d9263b77f53facdb,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_2,advanced,LongestCommonSubsequence,2,"[{""param_name"": ""a"", ""param_type"": ""Array Int""}, {""param_name"": ""b"", ""param_type"": ""Array Int""}]",Int,True,True,False,True,1.67,,False,16,2,1,0,True,9f2781ed89e3b6199b117ea044a95bb25fd1d9db5a381dd6759cb144ecab9a74,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,let,False
verina_advanced_3,advanced,LongestCommonSubsequence,2,"[{""param_name"": ""a"", ""param_type"": ""Array Int""}, {""param_name"": ""b"", ""param_type"": ""Array Int""}]",Int,True,True,False,True,1.67,,False,16,2,1,0,True,9f2781ed89e3b6199b117ea044a95bb25fd1d9db5a381dd6759cb144ecab9a74,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,let,False
verina_advanced_4,advanced,LongestIncreasingSubsequence,1,"[{""param_name"": ""a"", ""param_type"": ""Array Int""}]",Int,True,True,False,True,32.237,,False,12,2,1,0,True,ad19cd250c7f1139c9c52d57007fcd1d92222c4e1b2c3cbc8e6065440afc6ec5,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,True,False,let,False
verina_advanced_5,advanced,addTwoNumbers,2,"[{""param_name"": ""l1"", ""param_type"": ""List Nat""}, {""param_name"": ""l2"", ""param_type"": ""List Nat""}]",List Nat,True,True,False,True,2.163,,False,14,0,1,0,False,414f6d7107968224f19a7527f9535ca233ccd8231f78acbd00adf9fdf7060287,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_6,advanced,allVowels,1,"[{""param_name"": ""s"", ""param_type"": ""String""}]",Bool,True,True,False,True,1.562,,False,3,0,1,0,True,93554fe415ccfb4d51b92405c5220441d6f97b9748a3f5b58430bf14bbc39d6c,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,False,let,False
verina_advanced_7,advanced,binaryToDecimal,1,"[{""param_name"": ""digits"", ""param_type"": ""List Nat""}]",Nat,True,True,False,True,1.559,,False,5,0,1,0,False,4fa756aa4ac34cb9fbdbca03bfe86790e05f5ffd665d8af6980b68263126e6bc,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_8,advanced,canCompleteCircuit,2,"[{""param_name"": ""gas"", ""param_type"": ""List Int""}, {""param_name"": ""cost"", ""param_type"": ""List Int""}]",Int,True,True,False,True,1.664,,False,26,0,1,0,False,e38ecef58d8b43d59ec2633fe9817e8d829055b6b2b37028f1598f138587fde6,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_9,advanced,countSumDivisibleBy,2,"[{""param_name"": ""n"", ""param_type"": ""Nat""}, {""param_name"": ""d"", ""param_type"": ""Nat""}]",Nat,True,True,False,True,1.805,,False,7,2,1,0,False,cd37a69eeba048e7cf4c3d808be161d42b0001db0287180ebdfa0acdb0ef2f87,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,False,False,False,True,let,False
verina_advanced_10,advanced,findExponents,2,"[{""param_name"": ""n"", ""param_type"": ""Nat""}, {""param_name"": ""primes"", ""param_type"": ""List Nat""}]",List (Nat × Nat),True,True,False,True,8.98,,False,23,0,1,0,False,76b8c7259a17be91bb961a9f8c8da837109a9f65838377feb62adb9a5cea61b0,aba5987295c6bf8fd2e008fb639743d64fb6b0cf07b56834a4f615876ad812db,True,True,False,True,let,False
