model_id,tasks_attempted,tasks_valid,mean_frac_valid_samples,coverage,valid_samples,n_samples
deepseek-prover-v2-7b,189,31,0.11746031746031746,0.164021164021164,111,945
deepseek-prover-v2-7b__hard_unfold,189,30,0.11005291005291006,0.15873015873015872,104,945
goedel-prover-v2-32b,189,26,0.1142857142857143,0.13756613756613756,108,945
goedel-prover-v2-8b,189,29,0.10582010582010581,0.15343915343915343,100,945
goedel-prover-v2-8b__avoid_unfold,189,32,0.11851851851851851,0.1693121693121693,112,945
goedel-prover-v2-8b__hard_unfold,189,31,0.11322751322751323,0.164021164021164,107,945
goedel-prover-v2-8b__unfold,17,1,0.058823529411764705,0.058823529411764705,5,85
qwen3-14b,189,5,0.008465608465608466,0.026455026455026454,8,945
qwen3-14b__neutral,189,8,0.013756613756613757,0.042328042328042326,13,945
qwen3-32b,189,5,0.007407407407407408,0.026455026455026454,7,945
