model_id,tasks_attempted,coverage@1,coverage@2,coverage@3,coverage@4,coverage@5
deepseek-prover-v2-7b,189,0.12698412698412698,0.14285714285714285,0.14285714285714285,0.164021164021164,0.164021164021164
deepseek-prover-v2-7b__hard_unfold,189,0.10582010582010581,0.12169312169312169,0.13756613756613756,0.14814814814814814,0.15873015873015872
goedel-prover-v2-32b,189,0.1164021164021164,0.13227513227513227,0.13227513227513227,0.13756613756613756,0.13756613756613756
goedel-prover-v2-8b,189,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.14814814814814814,0.15343915343915343
goedel-prover-v2-8b__avoid_unfold,189,0.10052910052910052,0.13756613756613756,0.14285714285714285,0.15343915343915343,0.1693121693121693
goedel-prover-v2-8b__hard_unfold,189,0.1111111111111111,0.14285714285714285,0.15343915343915343,0.15873015873015872,0.164021164021164
goedel-prover-v2-8b__unfold,17,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
qwen3-14b,189,0.005291005291005291,0.015873015873015872,0.021164021164021163,0.026455026455026454,0.026455026455026454
qwen3-14b__neutral,189,0.015873015873015872,0.026455026455026454,0.037037037037037035,0.042328042328042326,0.042328042328042326
qwen3-32b,189,0.015873015873015872,0.015873015873015872,0.021164021164021163,0.026455026455026454,0.026455026455026454
