group,proof_source,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant,implementation_coupling,psr_D,psr_D_ci_low,psr_D_ci_high,n_tasks_D,n_variants_D,psr_S,psr_S_ci_low,psr_S_ci_high,n_tasks_S,n_variants_S,psr_E,psr_E_ci_low,psr_E_ci_high,n_tasks_E,n_variants_E,psr_rfl,psr_rfl_ci_low,psr_rfl_ci_high,n_variants_rfl,psr_nonrfl,psr_nonrfl_ci_low,psr_nonrfl_ci_high,n_variants_nonrfl
deepseek-prover-v2-7b,model,31,95,0.5929339477726575,0.5241935483870968,0.664362519201229,0.5894736842105263,0.4070660522273425,1.0,1.0,1.0,31,31,0.13333333333333333,0.03333333333333333,0.25,30,39,0.7222222222222222,0.5,0.9444444444444444,18,25,0.5376344086021505,0.4731182795698925,0.6129032258064515,70,0.7222222222222222,0.5,0.9444444444444444,25
deepseek-prover-v2-7b__hard_unfold,model,30,93,0.584920634920635,0.521031746031746,0.6543650793650794,0.5806451612903226,0.41507936507936505,1.0,1.0,1.0,30,30,0.1896551724137931,0.06896551724137931,0.3448275862068966,29,38,0.5833333333333334,0.3611111111111111,0.8055555555555556,18,25,0.5666666666666665,0.4888888888888889,0.65,68,0.5833333333333334,0.3611111111111111,0.8055555555555556,25
goedel-prover-v2-32b,model,26,83,0.6446886446886446,0.5645604395604396,0.7275641025641026,0.6144578313253012,0.3553113553113554,1.0,1.0,1.0,26,26,0.26,0.1,0.44,25,33,0.6764705882352942,0.4411764705882353,0.8823529411764706,17,24,0.6025641025641025,0.5064102564102564,0.7051282051282051,59,0.6764705882352942,0.4411764705882353,0.8823529411764706,24
goedel-prover-v2-8b,model,29,93,0.6461412151067324,0.5775862068965516,0.7208538587848933,0.6236559139784946,0.3538587848932676,1.0,1.0,1.0,29,29,0.26785714285714285,0.10714285714285714,0.42857142857142855,28,38,0.7236842105263158,0.5263157894736842,0.8947368421052632,19,26,0.5977011494252873,0.5057471264367815,0.6954022988505746,67,0.7236842105263158,0.5263157894736842,0.8947368421052632,26
goedel-prover-v2-8b__avoid_unfold,model,32,97,0.6108630952380952,0.5472470238095238,0.6785714285714285,0.6082474226804123,0.38913690476190477,1.0,1.0,1.0,32,32,0.22580645161290322,0.0967741935483871,0.3870967741935484,31,40,0.6111111111111112,0.3888888888888889,0.8333333333333334,18,25,0.5885416666666666,0.5104166666666666,0.6770833333333333,72,0.6111111111111112,0.3888888888888889,0.8333333333333334,25
goedel-prover-v2-8b__hard_unfold,model,31,99,0.6063748079877114,0.5526113671274961,0.6639784946236559,0.6161616161616161,0.3936251920122886,1.0,1.0,1.0,31,31,0.11290322580645161,0.03225806451612903,0.20967741935483872,31,41,0.9,0.75,1.0,20,27,0.510752688172043,0.456989247311828,0.5698924731182795,72,0.9,0.75,1.0,27
goedel-prover-v2-8b__unfold,model,1,2,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1,1,0.0,0.0,0.0,1,1,,,,0,0,0.5,0.5,0.5,2,,,,0
qwen3-14b,model,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,0.6166666666666667,1.0,1.0,1.0,5,5,0.0,0.0,0.0,5,6,0.25,0.0,0.75,4,5,0.4666666666666666,0.39999999999999997,0.5,11,0.25,0.0,0.75,5
qwen3-14b__neutral,model,8,22,0.46875,0.38541666666666663,0.5416666666666666,0.45454545454545453,0.53125,1.0,1.0,1.0,8,8,0.125,0.0,0.375,8,9,0.25,0.0,0.75,4,5,0.5416666666666666,0.4375,0.6875,17,0.25,0.0,0.75,5
qwen3-32b,model,5,14,0.5833333333333333,0.3666666666666666,0.8166666666666668,0.5714285714285714,0.41666666666666674,1.0,1.0,1.0,5,5,0.3,0.0,0.7,5,6,0.3333333333333333,0.0,1.0,3,3,0.6333333333333333,0.5,0.8333333333333333,11,0.3333333333333333,0.0,1.0,3
reference,reference,46,130,0.4791925465838509,0.4399572981366459,0.519927536231884,0.45384615384615384,0.5208074534161491,1.0,1.0,1.0,46,46,0.043478260869565216,0.0,0.09782608695652174,46,57,0.4416666666666666,0.24166666666666664,0.65,20,27,0.4855072463768116,0.4565217391304347,0.5181159420289856,103,0.4416666666666666,0.24166666666666664,0.65,27
