n_tasks,n_variants,psr_a,psr_b,delta,ci_low,ci_high,p_perm,model,stratum,stratum_value
25,79,0.5919047619047618,0.4357142857142857,0.15619047619047616,0.08,0.24285714285714285,0.0021,deepseek-prover-v2-7b,all,
1,4,0.5,0.5,0.0,0.0,0.0,1.0,deepseek-prover-v2-7b,unfolds_target_function,False
2,7,0.41666666666666663,0.41666666666666663,0.0,0.0,0.0,1.0,deepseek-prover-v2-7b,unfolds_target_function,True
25,25,1.0,1.0,0.0,0.0,0.0,1.0,deepseek-prover-v2-7b,severity,D
15,21,0.7333333333333333,0.3555555555555555,0.3777777777777778,0.13333333333333333,0.6222222222222222,0.0282,deepseek-prover-v2-7b,severity,E
25,33,0.16,0.02,0.14,0.02,0.3,0.1263,deepseek-prover-v2-7b,severity,S
24,77,0.5783730158730158,0.43303571428571425,0.14533730158730157,0.05555555555555556,0.23611111111111108,0.008,deepseek-prover-v2-7b__hard_unfold,all,
0,0,,,,,,,deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,False
23,73,0.5817805383022774,0.43012422360248437,0.15165631469979296,0.05797101449275362,0.2453416149068323,0.0077,deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,True
24,24,1.0,1.0,0.0,0.0,0.0,1.0,deepseek-prover-v2-7b__hard_unfold,severity,D
15,21,0.6,0.3555555555555555,0.24444444444444446,-0.08888888888888888,0.5777777777777778,0.2858,deepseek-prover-v2-7b__hard_unfold,severity,E
24,32,0.1875,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.3333333333333333,0.0883,deepseek-prover-v2-7b__hard_unfold,severity,S
21,69,0.6235827664399092,0.4353741496598638,0.18820861678004533,0.10090702947845805,0.2811791383219954,0.0017,goedel-prover-v2-32b,all,
1,4,0.5,0.5,0.0,0.0,0.0,1.0,goedel-prover-v2-32b,unfolds_target_function,False
0,0,,,,,,,goedel-prover-v2-32b,unfolds_target_function,True
21,21,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-32b,severity,D
14,20,0.6785714285714286,0.380952380952381,0.2976190476190476,0.0,0.5833333333333334,0.1212,goedel-prover-v2-32b,severity,E
21,28,0.2619047619047619,0.023809523809523808,0.23809523809523808,0.047619047619047616,0.4523809523809524,0.0457,goedel-prover-v2-32b,severity,S
23,75,0.6335403726708073,0.43012422360248437,0.203416149068323,0.11956521739130435,0.29037267080745344,0.0006,goedel-prover-v2-8b,all,
1,4,0.5,0.5,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,unfolds_target_function,False
0,0,,,,,,,goedel-prover-v2-8b,unfolds_target_function,True
23,23,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,severity,D
15,21,0.7833333333333333,0.3555555555555555,0.4277777777777778,0.11111111111111113,0.7111111111111111,0.0395,goedel-prover-v2-8b,severity,E
23,31,0.2391304347826087,0.021739130434782608,0.21739130434782608,0.043478260869565216,0.391304347826087,0.0465,goedel-prover-v2-8b,severity,S
26,81,0.5819597069597069,0.4381868131868131,0.14377289377289376,0.057692307692307696,0.23397435897435898,0.0063,goedel-prover-v2-8b__avoid_unfold,all,
1,4,0.5,0.5,0.0,0.0,0.0,1.0,goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,False
0,0,,,,,,,goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,True
26,26,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b__avoid_unfold,severity,D
