group,stratum,stratum_value,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant,severity
deepseek-prover-v2-7b,unfolds_target_function,False,28,86,0.608843537414966,0.5361288265306122,0.6849489795918368,0.6046511627906976,
deepseek-prover-v2-7b,unfolds_target_function,True,3,9,0.4444444444444444,0.3333333333333333,0.5,0.4444444444444444,
deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,True,30,93,0.584920634920635,0.521031746031746,0.6543650793650794,0.5806451612903226,
goedel-prover-v2-32b,unfolds_target_function,False,26,83,0.6446886446886446,0.5645604395604396,0.7275641025641026,0.6144578313253012,
goedel-prover-v2-8b,unfolds_target_function,False,29,93,0.6461412151067324,0.5775862068965516,0.7208538587848933,0.6236559139784946,
goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,False,32,97,0.6108630952380952,0.5472470238095238,0.6785714285714285,0.6082474226804123,
goedel-prover-v2-8b__hard_unfold,unfolds_target_function,True,31,99,0.6063748079877114,0.5526113671274961,0.6639784946236559,0.6161616161616161,
goedel-prover-v2-8b__unfold,unfolds_target_function,False,1,2,0.5,0.5,0.5,0.5,
qwen3-14b,unfolds_target_function,True,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,
qwen3-14b__neutral,unfolds_target_function,True,8,22,0.46875,0.38541666666666663,0.5416666666666666,0.45454545454545453,
qwen3-32b,unfolds_target_function,True,5,14,0.5833333333333333,0.3666666666666666,0.8166666666666668,0.5714285714285714,
reference,unfolds_target_function,False,1,4,0.5,0.5,0.5,0.5,
reference,unfolds_target_function,True,45,126,0.4787301587301587,0.4402116402116402,0.5198452380952381,0.4523809523809524,
deepseek-prover-v2-7b,unfolds_target_function,False,28,28,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,unfolds_target_function,True,3,3,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,unfolds_target_function,False,16,23,0.75,0.5,0.9375,0.8260869565217391,E
deepseek-prover-v2-7b,unfolds_target_function,True,2,2,0.5,0.0,1.0,0.5,E
deepseek-prover-v2-7b,unfolds_target_function,False,27,35,0.14814814814814814,0.037037037037037035,0.2777777777777778,0.14285714285714285,S
deepseek-prover-v2-7b,unfolds_target_function,True,3,4,0.0,0.0,0.0,0.0,S
deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,True,30,30,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,True,18,25,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.68,E
deepseek-prover-v2-7b__hard_unfold,unfolds_target_function,True,29,38,0.1896551724137931,0.06896551724137931,0.3448275862068966,0.18421052631578946,S
goedel-prover-v2-32b,unfolds_target_function,False,26,26,1.0,1.0,1.0,1.0,D
goedel-prover-v2-32b,unfolds_target_function,False,17,24,0.6764705882352942,0.4411764705882353,0.8823529411764706,0.7083333333333334,E
goedel-prover-v2-32b,unfolds_target_function,False,25,33,0.26,0.1,0.44,0.24242424242424243,S
goedel-prover-v2-8b,unfolds_target_function,False,29,29,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b,unfolds_target_function,False,19,26,0.7236842105263158,0.5263157894736842,0.8947368421052632,0.7692307692307693,E
goedel-prover-v2-8b,unfolds_target_function,False,28,38,0.26785714285714285,0.10714285714285714,0.42857142857142855,0.23684210526315788,S
goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,False,32,32,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,False,18,25,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.72,E
goedel-prover-v2-8b__avoid_unfold,unfolds_target_function,False,31,40,0.22580645161290322,0.0967741935483871,0.3870967741935484,0.225,S
goedel-prover-v2-8b__hard_unfold,unfolds_target_function,True,31,31,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__hard_unfold,unfolds_target_function,True,20,27,0.9,0.75,1.0,0.9259259259259259,E
goedel-prover-v2-8b__hard_unfold,unfolds_target_function,True,31,41,0.11290322580645161,0.03225806451612903,0.20967741935483872,0.12195121951219512,S
goedel-prover-v2-8b__unfold,unfolds_target_function,False,1,1,1.0,1.0,1.0,1.0,D
goedel-prover-v2-8b__unfold,unfolds_target_function,False,1,1,0.0,0.0,0.0,0.0,S
qwen3-14b,unfolds_target_function,True,5,5,1.0,1.0,1.0,1.0,D
qwen3-14b,unfolds_target_function,True,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b,unfolds_target_function,True,5,6,0.0,0.0,0.0,0.0,S
qwen3-14b__neutral,unfolds_target_function,True,8,8,1.0,1.0,1.0,1.0,D
qwen3-14b__neutral,unfolds_target_function,True,4,5,0.25,0.0,0.75,0.2,E
qwen3-14b__neutral,unfolds_target_function,True,8,9,0.125,0.0,0.375,0.1111111111111111,S
qwen3-32b,unfolds_target_function,True,5,5,1.0,1.0,1.0,1.0,D
qwen3-32b,unfolds_target_function,True,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
qwen3-32b,unfolds_target_function,True,5,6,0.3,0.0,0.7,0.3333333333333333,S
reference,unfolds_target_function,False,1,1,1.0,1.0,1.0,1.0,D
reference,unfolds_target_function,True,45,45,1.0,1.0,1.0,1.0,D
reference,unfolds_target_function,False,1,1,0.0,0.0,0.0,0.0,E
reference,unfolds_target_function,True,19,26,0.46491228070175433,0.25438596491228066,0.6842105263157895,0.38461538461538464,E
reference,unfolds_target_function,False,1,2,0.5,0.5,0.5,0.5,S
reference,unfolds_target_function,True,45,55,0.03333333333333333,0.0,0.08888888888888889,0.03636363636363636,S
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,18,0.5952380952380951,0.42857142857142855,0.7857142857142857,0.5555555555555556,
deepseek-prover-v2-7b,simp_mentions_target_function,True,24,77,0.5922619047619048,0.5248015873015873,0.6651785714285715,0.5974025974025974,
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,7,24,0.5425170068027211,0.42857142857142855,0.6564625850340136,0.5833333333333334,
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,23,69,0.5978260869565216,0.5217391304347826,0.6775362318840579,0.5797101449275363,
goedel-prover-v2-32b,simp_mentions_target_function,False,4,10,0.9375,0.8125,1.0,0.9,
goedel-prover-v2-32b,simp_mentions_target_function,True,22,73,0.5914502164502164,0.5189393939393939,0.6709956709956709,0.5753424657534246,
goedel-prover-v2-8b,simp_mentions_target_function,False,6,16,0.7361111111111112,0.5555555555555555,0.9027777777777777,0.6875,
goedel-prover-v2-8b,simp_mentions_target_function,True,23,77,0.6226708074534161,0.5538302277432713,0.6987707039337473,0.6103896103896104,
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,False,7,27,0.7210884353741497,0.6258503401360543,0.8282312925170069,0.7037037037037037,
goedel-prover-v2-8b__avoid_unfold,simp_mentions_target_function,True,25,70,0.58,0.5133333333333333,0.6566666666666667,0.5714285714285714,
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,False,4,12,0.6666666666666666,0.5,0.875,0.6666666666666666,
goedel-prover-v2-8b__hard_unfold,simp_mentions_target_function,True,27,87,0.597442680776014,0.5436507936507936,0.654320987654321,0.6091954022988506,
goedel-prover-v2-8b__unfold,simp_mentions_target_function,True,1,2,0.5,0.5,0.5,0.5,
qwen3-14b,simp_mentions_target_function,False,5,16,0.3833333333333333,0.29999999999999993,0.4666666666666666,0.375,
qwen3-14b__neutral,simp_mentions_target_function,False,8,22,0.46875,0.38541666666666663,0.5416666666666666,0.45454545454545453,
qwen3-32b,simp_mentions_target_function,False,4,12,0.6041666666666666,0.3333333333333333,0.875,0.5833333333333334,
qwen3-32b,simp_mentions_target_function,True,1,2,0.5,0.5,0.5,0.5,
reference,simp_mentions_target_function,False,45,126,0.4787301587301587,0.4402116402116402,0.5198452380952381,0.4523809523809524,
reference,simp_mentions_target_function,True,1,4,0.5,0.5,0.5,0.5,
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,7,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,simp_mentions_target_function,True,24,24,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b,simp_mentions_target_function,False,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333,E
deepseek-prover-v2-7b,simp_mentions_target_function,True,15,22,0.8,0.6,1.0,0.8636363636363636,E
deepseek-prover-v2-7b,simp_mentions_target_function,False,7,8,0.2857142857142857,0.0,0.5714285714285714,0.25,S
deepseek-prover-v2-7b,simp_mentions_target_function,True,23,31,0.08695652173913043,0.0,0.1956521739130435,0.0967741935483871,S
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,7,7,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,23,23,1.0,1.0,1.0,1.0,D
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,False,5,8,0.2,0.0,0.6,0.5,E
deepseek-prover-v2-7b__hard_unfold,simp_mentions_target_function,True,13,17,0.7307692307692307,0.5,0.9230769230769231,0.7647058823529411,E
