task_id,proof_source,model_id,generation_attempt,proof_source,proof_region_errors,proof_hash,proof_text,proof_aux_text,proof_chars,proof_lines,proof_loc,n_tactic_tokens,count_unfold,unfolds_target_function,count_simp,count_simp_all,simp_mentions_target_function,simp_only_used,count_rw,count_have,count_exact,count_apply,count_intro,count_constructor,count_cases,count_induction,count_split,count_by_cases,count_omega,count_decide,count_aesop,count_grind,count_rfl,count_norm_num,count_linarith,uses_automation,target_function_name_occurrences,code_aux_identifier_occurrences,mentions_code_aux_identifier,mentions_extracted_helper_name,mentions_h_precond,proof_aux_nonempty,first_tactic,tactic_histogram
verina_basic_1,reference,,,reference,[],4cc53b16da1f3c3f504647e8ccd8d3d6e1806c4acdd6de83c1552ec203cd6e2d,,,364,17,15,13,1,True,2,1,False,False,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=1;constructor=1;exact=2;have=2;intro=1;rw=2;simp=2;simp_all=1;unfold=1
verina_basic_10,reference,,,reference,[],7d3515d14e95933a588ef7f0e7a666f9404b24c5bc119ca34414f057f296b48c,,,60,2,2,2,1,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1
verina_basic_100,reference,,,reference,[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,,,158,8,8,7,1,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1
verina_basic_101,reference,,,reference,[],cd10127c64f63a8b0871c8c9b3d9046b70446efa02f2fe089d464f5d2b51b471,,,109,5,5,5,1,True,2,0,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=2;simp=2;unfold=1
verina_basic_11,reference,,,reference,[],aeba8a798b6026c867ea840ff86b66bae5a6ed6c0d62c06bec8bc1e13147f6e6,,,125,6,6,7,1,True,2,0,False,False,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,True,1,0,False,False,False,False,unfold,constructor=2;decide=1;exact=1;simp=2;unfold=1
verina_basic_12,reference,,,reference,[],5775ba4a5c9d5d2b0b7c70b5a14fe470328837a291e1ccbb7734c318ea78b664,,,57,2,2,2,1,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1
verina_basic_13,reference,,,reference,[],dd2d5c281fe7d638b715a52de1908845611a7cc0afe57644562dbf6b1d011911,,,711,20,20,20,1,True,6,1,False,True,3,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,apply=2;have=6;intro=1;rw=3;simp=6;simp_all=1;unfold=1
verina_basic_14,reference,,,reference,[],9cdd52239334607844541834efdea5aa3300d3495ea7a2a69edcb3a32921709b,,,49,2,2,2,1,True,0,1,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp_all=1;unfold=1
verina_basic_15,reference,,,reference,[],6bf0a86ec82ea6e8377a3bf477a9205f2d0b08ded7541aa7690a1b85776cc078,,,826,31,31,31,1,True,5,2,False,False,3,6,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,apply=1;constructor=2;exact=6;exists=2;have=6;intro=2;rcases=1;rw=3;simp=5;simp_all=2;unfold=1
verina_basic_16,reference,,,reference,[],5117e5f68763180469566bdde2de20e3b678d0825ecb721bf48b7e18f13af71f,,,296,8,6,4,1,True,1,1,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,constructor=1;simp=1;simp_all=1;unfold=1
verina_basic_17,reference,,,reference,[],96703100998013e4e52bc8672c90539a6b5d7d141c75154b019125dc1375650a,,,249,11,11,12,3,True,2,2,False,False,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,constructor=2;exact=1;have=1;intro=1;simp=2;simp_all=2;unfold=3
verina_basic_19,reference,,,reference,[],7e7337b807814e1c41eb9f0cc285edf267213caf55d6ee0829c2c463b3a5cdcc,,,255,14,13,12,1,True,5,2,False,False,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=3;constructor=1;simp=5;simp_all=2;unfold=1
verina_basic_2,reference,,,reference,[],87a9d46c0253d20c36fac3540f978af6921da0a9140218a5bfba06b20186ba91,,,248,10,10,8,1,True,2,0,False,True,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=1;exact=2;rw=2;simp=2;unfold=1
verina_basic_26,reference,,,reference,[],35b7cdc9001d65f142712b22142a276e0a87a0f6a25b6a166fa943811d165400,,,39,2,2,2,1,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1
verina_basic_29,reference,,,reference,[],5b28a0d354f8e4ba3677b3c3b64c7f4293c676bb38129c945a71b67de2182365,,,703,20,20,22,5,True,5,1,False,False,2,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,True,False,unfold,constructor=1;exact=2;have=4;intro=2;rw=2;simp=5;simp_all=1;unfold=5
verina_basic_3,reference,,,reference,[],e3b4b70ad41ad4d95f0b49210caf5240324bc8fe7fe2e93b1ac0eb9052e12d90,,,213,9,9,9,1,True,0,1,False,False,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,apply=1;constructor=1;exact=2;intro=1;rw=2;simp_all=1;unfold=1
verina_basic_30,reference,,,reference,[],546a0c3a5010d8e23ee7ab19a85f70aee2311bddca0f8c8904eb728fd239f21b,,,849,21,21,21,3,True,5,2,False,True,2,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,True,False,unfold,apply=2;have=6;intro=1;rw=2;simp=5;simp_all=2;unfold=3
verina_basic_31,reference,,,reference,[],98d532adcb8d3fff9b6f6cda25971f85faa6d2afa64443be2b814396eeedfa40,,,249,11,11,12,3,True,2,2,False,False,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,constructor=2;exact=1;have=1;intro=1;simp=2;simp_all=2;unfold=3
verina_basic_32,reference,,,reference,[],a75d3e1a11dec11b8a638bcecf8eb379bd51a37b23d9a94a37fb04c640d57f39,,,877,29,28,26,2,True,6,5,False,False,4,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,True,False,unfold,cases=2;constructor=2;exact=2;have=2;intro=1;rw=4;simp=6;simp_all=5;unfold=2
verina_basic_36,reference,,,reference,[],37368631be332ce81fdd9d8be1007e5e79f8dc55169ce2fc4e6bdc4638064b62,,,255,11,11,12,3,True,3,1,False,False,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,constructor=2;exact=1;have=1;intro=1;simp=3;simp_all=1;unfold=3
verina_basic_4,reference,,,reference,[],9015dc93c2a7f9c0a46da0bbf3bf0a9a7af80bd4dd1d738202cace4eceed3135,,,316,9,9,9,2,True,0,1,False,False,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,True,False,unfold,exact=2;exists=2;have=2;simp_all=1;unfold=2
verina_basic_42,reference,,,reference,[],3b4b09ef4d0c2e2891cacae2a4ac25b7bcace5694ab6aec3b46dfd25caa6b950,,,49,2,2,2,1,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1
verina_basic_44,reference,,,reference,[],58297dba6f847b0d10b987946aceecd76e5d531c48c51739425079f4d882b5b8,,,763,26,24,24,1,True,4,3,False,False,2,3,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,True,1,6,True,False,False,False,unfold,apply=3;constructor=1;exact=2;have=3;intro=5;rw=2;simp=4;simp_all=3;unfold=1
verina_basic_45,reference,,,reference,[],a3f0d2e0f29b439fde3c0334443720817d7d65b8939422a6b06cc515a7fb00e3,,,320,12,12,12,1,True,2,0,False,False,1,1,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,True,1,0,False,False,False,False,unfold,cases=1;contradiction=1;exact=1;have=1;rfl=2;rw=1;simp=2;split=2;unfold=1
