n_tasks,n_variants,psr_a,psr_b,delta,ci_low,ci_high,p_perm,base_model,condition_a,condition_b,stratum,stratum_value
30,93,0.584920634920635,0.5960317460317461,-0.011111111111111112,-0.08611111111111111,0.06111111111111111,0.8289,deepseek-prover-v2-7b,hard_unfold,default,all,
30,30,1.0,1.0,0.0,0.0,0.0,1.0,deepseek-prover-v2-7b,hard_unfold,default,severity,D
18,25,0.5833333333333334,0.7222222222222222,-0.1388888888888889,-0.3611111111111111,0.05555555555555555,0.3719,deepseek-prover-v2-7b,hard_unfold,default,severity,E
29,38,0.1896551724137931,0.13793103448275862,0.05172413793103448,-0.10344827586206896,0.20689655172413793,0.6785,deepseek-prover-v2-7b,hard_unfold,default,severity,S
27,87,0.6313932980599647,0.6569664902998237,-0.0255731922398589,-0.1243386243386243,0.07098765432098766,0.6349,goedel-prover-v2-8b,avoid_unfold,default,all,
27,27,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,avoid_unfold,default,severity,D
18,25,0.6111111111111112,0.7083333333333334,-0.09722222222222222,-0.3194444444444444,0.1111111111111111,0.6309,goedel-prover-v2-8b,avoid_unfold,default,severity,E
26,35,0.2692307692307692,0.28846153846153844,-0.019230769230769232,-0.25,0.23076923076923078,1.0,goedel-prover-v2-8b,avoid_unfold,default,severity,S
26,86,0.6236263736263735,0.6437728937728937,-0.020146520146520148,-0.10576923076923077,0.06227106227106227,0.6521,goedel-prover-v2-8b,hard_unfold,default,all,
26,26,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,hard_unfold,default,severity,D
18,25,0.9444444444444444,0.7083333333333334,0.2361111111111111,0.06944444444444445,0.4444444444444444,0.0628,goedel-prover-v2-8b,hard_unfold,default,severity,E
26,35,0.11538461538461539,0.28846153846153844,-0.17307692307692307,-0.36538461538461536,0.019230769230769232,0.1255,goedel-prover-v2-8b,hard_unfold,default,severity,S
1,2,0.5,0.5,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,unfold_oriented,default,all,
1,1,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,unfold_oriented,default,severity,D
0,0,,,,,,,goedel-prover-v2-8b,unfold_oriented,default,severity,E
1,1,0.0,0.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,unfold_oriented,default,severity,S
29,92,0.6050903119868637,0.6108374384236454,-0.005747126436781606,-0.08333333333333333,0.07471264367816091,0.9269,goedel-prover-v2-8b,avoid_unfold,hard_unfold,all,
29,29,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,avoid_unfold,hard_unfold,severity,D
18,25,0.6111111111111112,0.9444444444444444,-0.3333333333333333,-0.5555555555555556,-0.1111111111111111,0.0315,goedel-prover-v2-8b,avoid_unfold,hard_unfold,severity,E
29,38,0.2413793103448276,0.10344827586206896,0.13793103448275862,-0.017241379310344827,0.3103448275862069,0.1742,goedel-prover-v2-8b,avoid_unfold,hard_unfold,severity,S
1,2,1.0,0.5,0.5,0.5,0.5,1.0,goedel-prover-v2-8b,avoid_unfold,unfold_oriented,all,
1,1,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,avoid_unfold,unfold_oriented,severity,D
0,0,,,,,,,goedel-prover-v2-8b,avoid_unfold,unfold_oriented,severity,E
1,1,1.0,0.0,1.0,1.0,1.0,1.0,goedel-prover-v2-8b,avoid_unfold,unfold_oriented,severity,S
1,2,1.0,0.5,0.5,0.5,0.5,1.0,goedel-prover-v2-8b,hard_unfold,unfold_oriented,all,
1,1,1.0,1.0,0.0,0.0,0.0,1.0,goedel-prover-v2-8b,hard_unfold,unfold_oriented,severity,D
0,0,,,,,,,goedel-prover-v2-8b,hard_unfold,unfold_oriented,severity,E
1,1,1.0,0.0,1.0,1.0,1.0,1.0,goedel-prover-v2-8b,hard_unfold,unfold_oriented,severity,S
4,13,0.3958333333333333,0.3958333333333333,0.0,0.0,0.0,1.0,qwen3-14b,neutral_prompt,default,all,
4,4,1.0,1.0,0.0,0.0,0.0,1.0,qwen3-14b,neutral_prompt,default,severity,D
3,4,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,qwen3-14b,neutral_prompt,default,severity,E
4,5,0.0,0.0,0.0,0.0,0.0,1.0,qwen3-14b,neutral_prompt,default,severity,S
